Date: 2022-04-22 / Time: 12:16:40.669593
Temperature value: ,b'25.0'
 
Date: 2022-04-22 / Time: 14:08:13.031222
Temperature value: ,b'25.0'
 
Date: 2022-04-22 / Time: 15:39:22.587404
Temperature value: ,b'24.937'
 
Date: 2022-04-22 / Time: 18:45:44.026444
Temperature value: ,b'25.0'  

Date: 2022-04-23 / Time: 14:53:24.046852
Temperature value: ,b'25.0'  

Date: 2022-04-23 / Time: 22:29:35.946325
Temperature value: ,b'25.0'  

Date: 2022-04-24 / Time: 15:37:43.136549
Temperature value: ,b'33.864'  

Date: 2022-04-24 / Time: 15:40:11.349675
Temperature value: ,b'Error measurement'  
